type,queue,priority,language,tag_1,tag_2,tag_3,tag_4,text_preview
Incident,General Inquiry,low,de,Crash,Technical,Bug,Hardware,unvorhergesehener absturz der datenanalyse plattform die datenanalyse plattform brach unerwartet ab 
Request,Customer Service,medium,en,Feedback,Sales,IT,Tech Support,customer support inquiry seeking information on digital strategies that can aid in brand growth and 
Request,Customer Service,medium,en,Technical,Product,Guidance,Documentation,data analytics for investment i am contacting you to request information on data analytics tools tha
Incident,Customer Service,high,de,Security,Breach,Login,Maintenance,krankenhaus dienstleistung problem ein medien daten sperrverhalten trat aufgrund unerlaubten zugriff
Request,Customer Service,medium,en,Security,Customer,Compliance,Breach,security dear customer support i am reaching out to inquire about the security protocols you have in
Request,Technical Support,medium,en,Security,Product,Feature,IT,concerns about securing medical data on 2 in 1 convertible laptop with norton 360 inquiring about be
Request,Technical Support,medium,de,Backup,Security,IT,Tech Support,ratung für sicherung medizinischer daten in hubspot crm postgresql umgebungen ratung ob es möglich i
Problem,IT Support,high,en,Technical,Integration,Bug,Resolution,problem with integration the integration stopped working unexpectedly causing synchronization errors
Problem,Product Support,high,de,Technical,Bug,Security,Maintenance,assistance request dear customer support i am writing in regards to a recently detected data blocker
Problem,Product Support,high,de,Bug,Performance,IT,Tech Support,support request the latest data analysis reports are inconsistent potential causes might be input er
Problem,Technical Support,high,en,Technical,Outage,Crash,Resolution,issue with data analytics platform insufficient ram allocation i am reaching out to report an issue 
Incident,Technical Support,high,en,Technical,Bug,DataLoss,SoftwareUpdate,reported issue with project sync resulting in data loss dear customer support n ni am reporting an i
Request,Technical Support,medium,en,Customer,Strategy,Guidance,Documentation,strategies for brand expansion hello customer support team i am writing to seek advice on digital me
Incident,Technical Support,low,en,Technical,Bug,API,Documentation,issue with website analytics dashboard dear customer support i am encountering a problem with my web
Incident,Technical Support,high,en,Security,Network,Outage,IT,urgent data breach identified in hospital network data breach found assistance required
Problem,Customer Service,low,en,Bug,Performance,IT,Tech Support,request for assistance with data integration we are encountering data integration problems while opt
Change,Product Support,low,en,Feature,IT,Tech Support,,request for updating integration features on mobile i am writing to request an update to the integra
Problem,Technical Support,high,en,Bug,Crash,Performance,Hardware,problem with data analytics software frequent crashes the data analytics software used by the financ
Incident,Customer Service,high,en,Breach,Security,Incident,Resolution,urgent identification of a data breach within the patient records system breach in data identified
Incident,Product Support,high,en,Security,Breach,Technical,Outdated Software,to whom it may concern i am contacting you to report a possible data breach which may be related to 
Problem,Technical Support,medium,de,Tech Support,Performance,IT,Network,notwendige technische unterstützung sehr geehrte kundensupport wir begegnen momentan unregelmäßigen 
Change,IT Support,medium,en,Technical,Security,Breach,Compliance,urgent update encryption protocols for jira and hubspot crm systems hello customer support i am cont
Request,Billing and Payments,medium,en,Security,Documentation,IT,Tech Support,guidelines for securing medical data on macos systems with symantec endpoint protection could you pr
Incident,Technical Support,medium,en,Bug,Performance,Feature,IT,problem with software update data analytics functions are disrupted following the latest software up
Incident,Technical Support,medium,en,Technical,Performance,Outage,Resolution,slowness observed in the data analytics platform there has been a noticeable slowdown in the data an
Incident,Technical Support,high,de,Security,Breach,Crash,Hardware,verlust medizinischer daten gemeldet unverschlüsselte medizinische daten auf ungeschützten geräten w
Request,Customer Service,low,en,Security,Compliance,Guidance,Documentation,best practices for securing medical data with snagit and knime i am contacting you to seek advice on
Request,Product Support,high,en,Technical,Customer,Guidance,Documentation,guidance on optimizing investment strategies using data analytics dear customer support i am writing
Request,Service Outages and Maintenance,high,en,Technical,Integration,Software,Guidelines,requirements for wave integration with outlook 2021 i am contacting you to seek information regardin
Problem,Product Support,medium,de,Technical,Security,Breach,Documentation,issue regarding encryption dear customer support i am writing to report a problem with our medical d
Incident,Billing and Payments,low,en,Billing,Technical,Invoice,Payment,problem with invoice i am encountering a problem with my invoice the amount shown online is not accu
Incident,Technical Support,high,de,Technical,Network,Outage,Crash,anfrage für technischen support es gibt plötzliche verbindungsstörungen auf mehreren plattformen und
Request,Technical Support,high,en,Technical,Integration,Guidance,Documentation,enquiries on shopware integrations with google cloud and microsoft azure hello customer support i am
Change,Technical Support,high,en,Security,Customer,Medical,Encryption,enhancing security for medical data transmission systems hello customer support i am writing to inqu
Request,Customer Service,low,en,Feedback,Sales,Tech Support,,expansion of digital brand customer support reaching out for inquiries about digital strategy servic
Incident,IT Support,medium,en,Crash,Performance,IT,Tech Support,support for data analytics platform crash the data analytics platform encountered issues while proce
Request,IT Support,medium,en,Technical,Integration,Tool,Guidance,tech support inquiry i am contacting you to ask about the integration possibilities for clickup with
Incident,Service Outages and Maintenance,high,de,Bug,Outage,Disruption,Performance,problems with saas tools integration system downtime affecting jira and google meet restarting servi
Request,Technical Support,low,en,Feedback,Sales,IT,Tech Support,support for expanding a brand seeking information on digital marketing tactics for brand growth plea
Change,IT Support,medium,en,Feature,IT,Tech Support,,update integration settings for compatibility customer support requesting an update to the integrati
Problem,IT Support,high,de,Technical,Network,Outage,Bug,notwendige technische unterstützung viele werkzeuge funktionierten zeitgleich aus verursacht durch e
Incident,IT Support,low,en,Technical,Bug,Software,Configuration,digital campaign synchronization problem noted hello customer support br a digital campaign synchron
Problem,IT Support,high,en,Performance,Bug,IT,Tech Support,during the last deployment users encountered notable performance issues with the application this mi
Problem,Billing and Payments,high,en,Security,IT,Tech Support,Performance,support needed customer support facing issues with unauthorized access attempts to medical data in m
Incident,Customer Service,low,en,Security,Virus,IT,Tech Support,support request for data breach issue there has been an unexpected data breach that may have comprom
Request,Billing and Payments,low,de,Billing,Payment,Refund,Sales,support inquiry for invoice management please contact us to obtain details about the invoice managem
Change,IT Support,medium,en,Feature,Performance,Feedback,IT,support for digital marketing request for enhancements in digital marketing tools integration to opt
Incident,Customer Service,medium,de,Bug,Performance,IT,Tech Support,technische probleme die data analytics plattform funktioniert nicht richtig und es werden unkorrekte
Request,Product Support,high,en,Network,Security,Performance,IT,medical support i am reaching out to inquire about solutions that can secure medical data and enhanc
Incident,Technical Support,low,de,Performance,Disruption,IT,Tech Support,aid for issues with website performance dear customer support the performance of the agency websites
Incident,IT Support,medium,en,Technical,Hardware,Software,Driver,technical help the scanner is not functioning correctly because of old drivers and recent macos upda
Incident,Technical Support,medium,en,Outage,Performance,Network,Recovery,problem with sql server downtime faced an sql server outage that disrupted data analytics processing
Request,Customer Service,medium,en,Digital,Strategy,Growth,Brand,strategies for enhancing digital brand growth i hope this message finds you well i am interested in 
Request,Billing and Payments,high,en,Billing,Payment,Refund,Sales,support for quickbooks i am seeking information on billing options and the integration of the quickb
Incident,Technical Support,low,en,Technical,Customer,Outage,Bug,support required dear customer support i am writing to report an issue with the data visualization d
Incident,Human Resources,medium,en,Bug,Performance,Feature,IT,concerns with data analytics the data analytics tool is yielding inconsistent results it appears rec
Incident,Technical Support,high,en,Bug,Performance,IT,Tech Support,dear customer support the critical data analytics report generation has failed due to software compa
Problem,Product Support,medium,de,Technical,Bug,Crash,Feedback,bericht über einen fehler in der datenaufbereitungsoberfläche sehr geehrte kundenservice ich wende m
Request,Technical Support,medium,de,Feedback,Sales,Marketing,Documentation,digital strategies for growth dear customer service i am interested in exploring digital strategies 
Incident,Technical Support,medium,de,IT,Tech Support,Performance,Bug,support inquiry digital campaign analysis has stopped need to update brand growth tracking is affect
Request,Technical Support,medium,de,Technical,Software,Compatibility,Documentation,system requirements i would like to know the system requirements for your project management saas pl
Request,Customer Service,high,en,Technical,Product,Documentation,Guidance,inquiry on system requirements for project management saas i am contacting you to seek details on th
Incident,Technical Support,high,en,Bug,Performance,IT,Tech Support,customer support our marketing agency has encountered software malfunctions that are affecting our b
Incident,Returns and Exchanges,medium,de,Feature,Feedback,Performance,Documentation,continuous issues with online product display facing difficulties with online product display during
Change,Technical Support,high,de,Customer,Product,Feature,Integration,verbesserung des projekt managements mit ubuntu 20 04 lts und redis 6 2 sehr geehrte kundenservice i
Incident,Customer Service,low,de,Technical,Product,Outage,Crash,problem bei der medizinischen scanner bearbeitung die medizinische datenbearbeitung hat plötzlich au
Incident,Technical Support,low,en,Technical,Campaign,Compatibility,Bug,problem with campaign launch hello customer support i am contacting you to report that my digital ma
Incident,Product Support,medium,en,Bug,Performance,Network,IT,problem with project management dashboard there are occasional access problems with the project mana
Request,Billing and Payments,medium,de,Technical,Security,Compliance,HIPAA,django elasticsearch hipaa compliance issue ensure that the security protocols comply with hipaa reg
Problem,IT Support,medium,en,Technical,Security,Bug,Documentation,support request medical data encryption issue dear customer support i am inquiring about a problem i
Request,Technical Support,medium,en,Security,Product,Feature,,security of medical data could you provide details on securing medical data using the hub smart ther
Request,Technical Support,high,de,IT,Tech Support,Feature,,assistance needed guidance required for integrating microsoft sql server 2019 with saas project mana
Incident,Technical Support,medium,de,Technical,Bug,Performance,Documentation,fehler in den investment modellierungs ausgaben ein missverständnis gibt es hier das problem die inv
Change,Returns and Exchanges,low,en,Product,Feature,Update,Return,request for updating product details and integration options dear customer support i am writing to r
Incident,Billing and Payments,low,de,Security,IT,Virus,Performance,benachrichtigung über unbefugten zugriff auf server die benachrichtigung über einen unbefugten zugri
Incident,Technical Support,high,de,Technical,Campaign,Integration,Server,unterstützung bei digitale kampagnen aufgrund technischer integrationsmängle konnten verschiedene to
Problem,Technical Support,high,en,Bug,Security,IT,Tech Support,assistance required our medical data security system is facing vulnerabilities possibly due to outda
Problem,Technical Support,high,en,Security,Outage,Maintenance,IT,data breach incident we have encountered a significant data breach impacting our medical data system
Request,Technical Support,medium,de,Feature,Feedback,Sales,Documentation,frage zur anpassbaren digitalen strategie dienstleistung ich möchte mehr über ihre digitalen strateg
Problem,IT Support,high,en,Crash,Hardware,Technical,Resolution,investment data analytics platform crash the investment data analytics platform unexpectedly halted 
Change,Sales and Pre-Sales,high,en,Feature,Documentation,Feedback,IT,boost data analytics support requesting an enhancement in our data analytics capabilities we are aim
Change,Product Support,high,en,Technical,Customer,Product,Hardware,request for updated hardware and software compatibility dear customer support team i am contacting y
Problem,Billing and Payments,high,en,Security,Breach,Network,Guidance,dear customer support i am in need of your assistance as i have encountered a data breach through an
Request,Sales and Pre-Sales,medium,en,Security,IT,Tech Support,Documentation,security measures for medical data in hospital infrastructure could you provide detailed solutions f
Change,Service Outages and Maintenance,high,de,Technical,Performance,Maintenance,Upgrade,aktualisierung der datenbank clusterverwaltungskonfiguration aktualisieren sie die datenbank cluster
Request,Billing and Payments,low,de,Billing,Product,Payment,Customer,frage zum einsatz von elasticsearch in xero und microsoft produkten sehr geehrte kundensupport ich s
Problem,Technical Support,low,en,Security,Virus,IT,Tech Support,support for security concern a healthcare organization faced an unauthorized breach of medical data 
Request,Customer Service,low,de,Feature,Documentation,Tech Support,,verfügbare integrationsoptionen für quickbooks online kontaktieren sie uns um informationen über die
Incident,Product Support,high,en,Feedback,Performance,Documentation,Sales,identifying issues with campaign engagement customer support br our campaign metrics for lynda com s
Incident,Technical Support,high,en,Bug,Performance,IT,Tech Support,support for project management saas application issues our project management saas application is en
Change,IT Support,low,en,Technical,Product,Feedback,Documentation,update project software dashboard optimize the layout of the project management software dashboard f
Request,Customer Service,low,en,Security,Compliance,Documentation,IT,securing medical data on a wordpress healthcare site we are reaching out for guidance on securing me
Incident,Service Outages and Maintenance,medium,en,Outage,Security,Network,IT,report on system outage impact on medical data security a system outage is impacting medical data se
